presenter_name,presenter_institution,presentation_title,session_title,session_description
Jessica Enoch,University of Maryland,NA,Women's Ways of Making Histories: Complicating Feminist Rhetorical Historiography,This panel complicates feminist research methodologies by reexamining and reconceiving the ways we do feminist historiography.
Suzanne Bordelon,San Diego State University,Complicating,Women's Ways of Making Histories: Complicating Feminist Rhetorical Historiography,This panel complicates feminist research methodologies by reexamining and reconceiving the ways we do feminist historiography.
'Dame Shirley' and the California Gold Mines,"1851â€“ 1852""",NA,Women's Ways of Making Histories: Complicating Feminist Rhetorical Historiography,This panel complicates feminist research methodologies by reexamining and reconceiving the ways we do feminist historiography.
Cristina Ramirez,University of Arizona,Checking Our,Women's Ways of Making Histories: Complicating Feminist Rhetorical Historiography,This panel complicates feminist research methodologies by reexamining and reconceiving the ways we do feminist historiography.
The Gendered,Cultural,NA,Women's Ways of Making Histories: Complicating Feminist Rhetorical Historiography,This panel complicates feminist research methodologies by reexamining and reconceiving the ways we do feminist historiography.
John Jones,West Virginia University,Delaying Certainty in Visual Design,The Rhetorical Potential of Visual Confusion,Four panelists examine how overly functional approaches to information graphics obscure their communicative and pedagogical potential.
Drew Loewe,St. Edward's University,Infographics and Bullshit,The Rhetorical Potential of Visual Confusion,Four panelists examine how overly functional approaches to information graphics obscure their communicative and pedagogical potential.
Madeleine Sorapure,University of California,Designed to Explore,The Rhetorical Potential of Visual Confusion,Four panelists examine how overly functional approaches to information graphics obscure their communicative and pedagogical potential.
Michael Trice,Massachusetts Institute of Technology,STEM Writing as Diagrammatic Confusion,The Rhetorical Potential of Visual Confusion,Four panelists examine how overly functional approaches to information graphics obscure their communicative and pedagogical potential.
Kofi Adisa,Howard Community College,Inventing the Community College: Going beyond 'What's Expected' of/from,"""You Can't Do THAT at Community College!"" Challenging Stereotypes of Rigor and Student Engagement in a TwoYear Setting",This panel examines their responses to misconceptions and assumptions about what should and can be taught in two-year writing courses.
Sylvia Lee,Howard Community College,"Swinging the Pendulum, Striking Balance: Creative Writing Strategies and Composition in the","""You Can't Do THAT at Community College!"" Challenging Stereotypes of Rigor and Student Engagement in a TwoYear Setting",This panel examines their responses to misconceptions and assumptions about what should and can be taught in two-year writing courses.
Rick Leith,Howard Community College,What Are YOU Doing Here? Fighting Resistance to First-Year Student Engagement in the,"""You Can't Do THAT at Community College!"" Challenging Stereotypes of Rigor and Student Engagement in a TwoYear Setting",This panel examines their responses to misconceptions and assumptions about what should and can be taught in two-year writing courses.
Juliette Ludeker,Howard Community College,'Don't You Think You're Being Too Hard for a Community College Class?': Teaching toward/,"""You Can't Do THAT at Community College!"" Challenging Stereotypes of Rigor and Student Engagement in a TwoYear Setting",This panel examines their responses to misconceptions and assumptions about what should and can be taught in two-year writing courses.
Paul LaPrade,University of Texas at El Paso,NA,Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
Marissa Juarez,"Central New Mexico Community College,",NA,Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
"""Cultivating Sustainability","Creating Change: Campus as a Living Lab Initiatives in the Technical Writing Classroom""","Cultivating Sustainability, Creating Change: Campus as a Living Lab Initiatives in the Technical Writing Classroom",Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
Michael Knievel,University of Wyoming,Rural Rhetoric and Agency:,Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
Wind Power,Agriculture,NA,Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
Emmett Ryan,Indiana University of Pennsylvania,"Fast Food, Slow",Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
Composition,"and Teaching Food Studies in the College Writing Classroom""",NA,Rhetorical Approaches to Sustainability and the Environment,"This panel examines historical and current relationships between rhetoric, writing, and ecological concerns."
Dev Bose,University of Arizona,Embodying Learning Online,Designing while Feminist: Composing an Inclusive Practice of Digital Design,Interdisciplinary scholars and media makers apply intersectional feminist rhetoric to negotiate an inclusive rhetoric of digital design.
Christine Martorana,College of Staten Island,Crafting Feminist Social Media,Designing while Feminist: Composing an Inclusive Practice of Digital Design,Interdisciplinary scholars and media makers apply intersectional feminist rhetoric to negotiate an inclusive rhetoric of digital design.
Nicole Ashanti McFarlane,Fayetteville State University,Making Place for Femininity,Designing while Feminist: Composing an Inclusive Practice of Digital Design,Interdisciplinary scholars and media makers apply intersectional feminist rhetoric to negotiate an inclusive rhetoric of digital design.
Anne-Marie Womack,Tulane University,Remaking Accessible Syllabi,Designing while Feminist: Composing an Inclusive Practice of Digital Design,Interdisciplinary scholars and media makers apply intersectional feminist rhetoric to negotiate an inclusive rhetoric of digital design.
Patricia Fancher,University of California,NA,Designing while Feminist: Composing an Inclusive Practice of Digital Design,Interdisciplinary scholars and media makers apply intersectional feminist rhetoric to negotiate an inclusive rhetoric of digital design.
Barbara,"""Building Alliances in Webspaces"" NA",Building Alliances in Webspaces,Designing while Feminist: Composing an Inclusive Practice of Digital Design,Interdisciplinary scholars and media makers apply intersectional feminist rhetoric to negotiate an inclusive rhetoric of digital design.
Suzanne Lane,Massachusetts Institute of Technology NA,NA,"Historical Publics, Rhetorical Figures",Speakers will discuss the rhetorical and historical realities of individual and cultural publics.
Marcy Llamas Senese,independent writing program consultant,NA,Improving the Experience and Efficacy of Testing for Placement,"While taking critical stances toward testing, these speakers present research-based advice about how to improve writing assessment practices."
Elizabeth Keating,University of Houston,'Give Them a Sob Story': Mobilizing Student Experiences of Standardized Test Writing to,Improving the Experience and Efficacy of Testing for Placement,"While taking critical stances toward testing, these speakers present research-based advice about how to improve writing assessment practices."
Gillan White,Saginaw Valley State University,A Humanistic Approach to Quantitative Analysis or a Quantitative Approach to Humanism:,Improving the Experience and Efficacy of Testing for Placement,"While taking critical stances toward testing, these speakers present research-based advice about how to improve writing assessment practices."
Meng Yu,Georgia State University,Building Boundary of Writing Assessment through Validation,Improving the Experience and Efficacy of Testing for Placement,"While taking critical stances toward testing, these speakers present research-based advice about how to improve writing assessment practices."
Holly Ryan,Pennsylvania State University,NA,What Is Writing Studies Made of?,Tackling questions of structures and boundaries of the field: presenters explore disciplinary futures growing out of earlier alliances.
Peter Campbell,University of Pittsburgh,Cultivating Argumentation,What Is Writing Studies Made of?,Tackling questions of structures and boundaries of the field: presenters explore disciplinary futures growing out of earlier alliances.
John Dunn,Eastern Michigan University,Capacity and Change since the 2003 Alliance of Rhetoric Societies (ARS) Conference:,What Is Writing Studies Made of?,Tackling questions of structures and boundaries of the field: presenters explore disciplinary futures growing out of earlier alliances.
Cory Holding,University of Pittsburgh,Cultivating Argumentation,What Is Writing Studies Made of?,Tackling questions of structures and boundaries of the field: presenters explore disciplinary futures growing out of earlier alliances.
Bob Samuels,University of California,"Contingent Labor,",What Is Writing Studies Made of?,Tackling questions of structures and boundaries of the field: presenters explore disciplinary futures growing out of earlier alliances.
Writing Studies,"and Writing about Writing"" NA", NA,What Is Writing Studies Made of?,Tackling questions of structures and boundaries of the field: presenters explore disciplinary futures growing out of earlier alliances.
Benjamin Foster,Portland Community College,NA,(Trans)lingual and -national Perspectives in Writing Studies,Panelists discuss varying projects that focus on improving composition writing practices.
David Martins,Rochester Institute of Technology,Redesigning FYW to Cultivate Students' Transnational Literacy Practices,(Trans)lingual and -national Perspectives in Writing Studies,Panelists discuss varying projects that focus on improving composition writing practices.
Vivette Milson-Whyte,The University of the West Indies,Cultivating Transnational Composition: Terms of Exchange in/for,(Trans)lingual and -national Perspectives in Writing Studies,Panelists discuss varying projects that focus on improving composition writing practices.
Ruby Nancy,East Carolina University,Audre and Gloria Made Me Do It:,(Trans)lingual and -national Perspectives in Writing Studies,Panelists discuss varying projects that focus on improving composition writing practices.
Queering Genres,Translinguality,NA,(Trans)lingual and -national Perspectives in Writing Studies,Panelists discuss varying projects that focus on improving composition writing practices.
Elizabeth Vander Lei,Calvin College,NA,Exploring Public Religious Displays in the Rhetorical Extracurriculum and Classroom,How can compositionists draw from public religious displays to support students' rhetorical awareness and development?
Christopher Brown,RCTE,In Defense of 'Preaching to the Choir': A Place for the Sermonic in the,Exploring Public Religious Displays in the Rhetorical Extracurriculum and Classroom,How can compositionists draw from public religious displays to support students' rhetorical awareness and development?
Geoffrey Clegg,Western Michigan University,Reflecting Rhetoric: World Hijab Day and the Extensions of Rhetorical Performance and,Exploring Public Religious Displays in the Rhetorical Extracurriculum and Classroom,How can compositionists draw from public religious displays to support students' rhetorical awareness and development?
Emily Cope,York College of Pennsylvania,Campus Preachers and the Secular Imaginaries of Evangelical Undergraduates,Exploring Public Religious Displays in the Rhetorical Extracurriculum and Classroom,How can compositionists draw from public religious displays to support students' rhetorical awareness and development?
TJ Geiger,Baylor University,Hope in the Ashes: Rhetoric of the 'Ashes to Go' Campaign,Exploring Public Religious Displays in the Rhetorical Extracurriculum and Classroom,How can compositionists draw from public religious displays to support students' rhetorical awareness and development?
Gita DasBender,Seton Hall University NA,NA,ESL beyond the ESL Classroom,"This panel articulates the need for a more capacious understanding of ESL beyond the confines of the ESL classroom, with implications for faculty and writing program development."
Sara P. Alvarez,University of Louisville,NA,"Neoliberal Discourses, Translingual Dispositions: Cultivating Critical Perspectives among Scholars in Composition, Applied Linguistics, and Sociolinguistics",Scholars from multiple disciplines explore how composition's translingual turn can work around and through the hegemony of neoliberalism.
David Green,Howard University,NA,"Neoliberal Discourses, Translingual Dispositions: Cultivating Critical Perspectives among Scholars in Composition, Applied Linguistics, and Sociolinguistics",Scholars from multiple disciplines explore how composition's translingual turn can work around and through the hegemony of neoliberalism.
Christopher J. Jenks,University of South Dakota,NA,"Neoliberal Discourses, Translingual Dispositions: Cultivating Critical Perspectives among Scholars in Composition, Applied Linguistics, and Sociolinguistics",Scholars from multiple disciplines explore how composition's translingual turn can work around and through the hegemony of neoliberalism.
Ryuko Kubota,University of British Columbia,NA,"Neoliberal Discourses, Translingual Dispositions: Cultivating Critical Perspectives among Scholars in Composition, Applied Linguistics, and Sociolinguistics",Scholars from multiple disciplines explore how composition's translingual turn can work around and through the hegemony of neoliberalism.
Jerry Won Lee,University of California,NA,"Neoliberal Discourses, Translingual Dispositions: Cultivating Critical Perspectives among Scholars in Composition, Applied Linguistics, and Sociolinguistics",Scholars from multiple disciplines explore how composition's translingual turn can work around and through the hegemony of neoliberalism.
Suresh Canagarajah,Penn State University NA,NA,"Neoliberal Discourses, Translingual Dispositions: Cultivating Critical Perspectives among Scholars in Composition, Applied Linguistics, and Sociolinguistics",Scholars from multiple disciplines explore how composition's translingual turn can work around and through the hegemony of neoliberalism.
John McKinnis,Buffalo State,NA,Cultivating Graduate Writing and Teaching,This panel emphasizes graduate student professional development and encouragement.
Crystal Colombini,University of Texas at San Antonio,Cultivating Graduate Writing Success through Rhetorical Imitation,Cultivating Graduate Writing and Teaching,This panel emphasizes graduate student professional development and encouragement.
Rosalind Diaz,University of California-Berkeley,RADQOMP: An Experiment in Radical Queer Pedagogies of Composition,Cultivating Graduate Writing and Teaching,This panel emphasizes graduate student professional development and encouragement.
Heather Lang,Florida State University,Cultivating (Graduate) Writers:,Cultivating Graduate Writing and Teaching,This panel emphasizes graduate student professional development and encouragement.
Encouraging Institutional Support,Meta-Awareness,NA,Cultivating Graduate Writing and Teaching,This panel emphasizes graduate student professional development and encouragement.
Nancy Wilson,Texas State University,Cultivating Awareness: Deconstruction as a Tool for Diversity in the TA Practicum and FYE,Cultivating Graduate Writing and Teaching,This panel emphasizes graduate student professional development and encouragement.
Chris Fosen,California State University,NA,Institutional Ethnography and WAC/WID Development: Mapping Standpoints on Writing as Paths to Engagement,Institutional Ethnography offers WAC/WID programs useful ways of identifying opportunities to shape disciplinary writing requirements.
Susan Delaney,Ithaca College,How Does Your Garden Grow? Cultivating a Culture of Writing in an Era of Mandates,Institutional Ethnography and WAC/WID Development: Mapping Standpoints on Writing as Paths to Engagement,Institutional Ethnography offers WAC/WID programs useful ways of identifying opportunities to shape disciplinary writing requirements.
Chris Fosen,California State University,Mapping Standpoints on Writing: Austerity Budgeting and Local Systems of Value in WAC,Institutional Ethnography and WAC/WID Development: Mapping Standpoints on Writing as Paths to Engagement,Institutional Ethnography offers WAC/WID programs useful ways of identifying opportunities to shape disciplinary writing requirements.
Sherry Linkon,Georgetown University,Tracing and/or Building: Using Institutional Ethnography to Engage Faculty,Institutional Ethnography and WAC/WID Development: Mapping Standpoints on Writing as Paths to Engagement,Institutional Ethnography offers WAC/WID programs useful ways of identifying opportunities to shape disciplinary writing requirements.
Beth Hewett,Defend & Publish,NA,"(Re)Uniting Reading, Writing, and Digital Composition: Changing Teaching and Learning through Online Literacy Education and Research","This panel addresses three subdisciplinesâ€”reading, writing, and digital compositionâ€”as key literacies for online composition education."
Beth Hewett,Defend & Publish,Writing to Teach: Facilitating,"(Re)Uniting Reading, Writing, and Digital Composition: Changing Teaching and Learning through Online Literacy Education and Research","This panel addresses three subdisciplinesâ€”reading, writing, and digital compositionâ€”as key literacies for online composition education."
Online Students' Reading,Writing,NA,"(Re)Uniting Reading, Writing, and Digital Composition: Changing Teaching and Learning through Online Literacy Education and Research","This panel addresses three subdisciplinesâ€”reading, writing, and digital compositionâ€”as key literacies for online composition education."
Alice Horning,Oakland University,Cultivating Reading Online and Off: A Key to Digital Literacy,"(Re)Uniting Reading, Writing, and Digital Composition: Changing Teaching and Learning through Online Literacy Education and Research","This panel addresses three subdisciplinesâ€”reading, writing, and digital compositionâ€”as key literacies for online composition education."
Jennifer Sheppard,San Diego State University,Literacies of the,"(Re)Uniting Reading, Writing, and Digital Composition: Changing Teaching and Learning through Online Literacy Education and Research","This panel addresses three subdisciplinesâ€”reading, writing, and digital compositionâ€”as key literacies for online composition education."
A Multimodal Approach to Integrating Reading,Writing,NA,"(Re)Uniting Reading, Writing, and Digital Composition: Changing Teaching and Learning through Online Literacy Education and Research","This panel addresses three subdisciplinesâ€”reading, writing, and digital compositionâ€”as key literacies for online composition education."
Erica Cirillo-McCarthy,Stanford University,NA,Cultivating Rhetorics of Interruption as Feminist Praxis in Rhetoric and Composition Studies,"After presenting the results of our collaborative research on the ways in which feminist rhetoric and composition teacher-scholars continue to experience and navigate sexism and other exclusionary practices in the academy, we will engage attendees in a conversation with the intent to engage in grassroots organizing within the discipline and beyond. Participants will address questions such as: â€¢ How can rhetoric and composition studies help us to understand, resist, and reframe patriarchal practices so deeply embedded in institutions of higher education? â€¢ How can we best leverage the institutional locations of rhetoric and composition programs, writing programs, and writing centers to address systemic sexism and exclusion in our field and in the academy? â€¢ How can we use our pedagogy to shift the culture of sexism, discrimination, and exclusion? What are the pedagogical potentials and risks of interruption (for instructors, students, administrators, etc.)? Because the primary objective of this Cultivate session is to cultivate a space in which feminist compositionists and rhetoricians build our capacity to take strategic action, we hope these questions will enable attendees to work together to identify specific approaches to interruption as feminist praxis, including how we might sustain ourselves as professionals and how we can implement interruption as a rhetorical tool for social justice education and anti-oppression across institutions."
Elise Verzosa Hurley,Illinois State University,NA,Cultivating Rhetorics of Interruption as Feminist Praxis in Rhetoric and Composition Studies,"After presenting the results of our collaborative research on the ways in which feminist rhetoric and composition teacher-scholars continue to experience and navigate sexism and other exclusionary practices in the academy, we will engage attendees in a conversation with the intent to engage in grassroots organizing within the discipline and beyond. Participants will address questions such as: â€¢ How can rhetoric and composition studies help us to understand, resist, and reframe patriarchal practices so deeply embedded in institutions of higher education? â€¢ How can we best leverage the institutional locations of rhetoric and composition programs, writing programs, and writing centers to address systemic sexism and exclusion in our field and in the academy? â€¢ How can we use our pedagogy to shift the culture of sexism, discrimination, and exclusion? What are the pedagogical potentials and risks of interruption (for instructors, students, administrators, etc.)? Because the primary objective of this Cultivate session is to cultivate a space in which feminist compositionists and rhetoricians build our capacity to take strategic action, we hope these questions will enable attendees to work together to identify specific approaches to interruption as feminist praxis, including how we might sustain ourselves as professionals and how we can implement interruption as a rhetorical tool for social justice education and anti-oppression across institutions."
Amanda Wray,University of North Carolina,NA,Cultivating Rhetorics of Interruption as Feminist Praxis in Rhetoric and Composition Studies,"After presenting the results of our collaborative research on the ways in which feminist rhetoric and composition teacher-scholars continue to experience and navigate sexism and other exclusionary practices in the academy, we will engage attendees in a conversation with the intent to engage in grassroots organizing within the discipline and beyond. Participants will address questions such as: â€¢ How can rhetoric and composition studies help us to understand, resist, and reframe patriarchal practices so deeply embedded in institutions of higher education? â€¢ How can we best leverage the institutional locations of rhetoric and composition programs, writing programs, and writing centers to address systemic sexism and exclusion in our field and in the academy? â€¢ How can we use our pedagogy to shift the culture of sexism, discrimination, and exclusion? What are the pedagogical potentials and risks of interruption (for instructors, students, administrators, etc.)? Because the primary objective of this Cultivate session is to cultivate a space in which feminist compositionists and rhetoricians build our capacity to take strategic action, we hope these questions will enable attendees to work together to identify specific approaches to interruption as feminist praxis, including how we might sustain ourselves as professionals and how we can implement interruption as a rhetorical tool for social justice education and anti-oppression across institutions."
Jonathan Alexander,University of California,NA,"""Dull Duty"" and Disciplinary Issues: A Roundtable with NCTE Editors The purpose of this session is to broaden our understanding of the often-invisible processes and people who serve as guides and gatekeeper of our field's periodicals. In order to help us better understand editorial practices and challenges, this session will begin with a report of results from a national study of journal editors in the field. After thus broadly surveying the role of the editor, editors from five journals will offer brief (5â€“7 minutes) remarks on the state of editing.",NA
Ellen Cushman,Northeastern University,NA,"""Dull Duty"" and Disciplinary Issues: A Roundtable with NCTE Editors The purpose of this session is to broaden our understanding of the often-invisible processes and people who serve as guides and gatekeeper of our field's periodicals. In order to help us better understand editorial practices and challenges, this session will begin with a report of results from a national study of journal editors in the field. After thus broadly surveying the role of the editor, editors from five journals will offer brief (5â€“7 minutes) remarks on the state of editing.",NA
Rachael Green-Howard,University of Delaware,NA,"""Dull Duty"" and Disciplinary Issues: A Roundtable with NCTE Editors The purpose of this session is to broaden our understanding of the often-invisible processes and people who serve as guides and gatekeeper of our field's periodicals. In order to help us better understand editorial practices and challenges, this session will begin with a report of results from a national study of journal editors in the field. After thus broadly surveying the role of the editor, editors from five journals will offer brief (5â€“7 minutes) remarks on the state of editing.",NA
Holly Hassel,University of Wisconsin,NA,"""Dull Duty"" and Disciplinary Issues: A Roundtable with NCTE Editors The purpose of this session is to broaden our understanding of the often-invisible processes and people who serve as guides and gatekeeper of our field's periodicals. In order to help us better understand editorial practices and challenges, this session will begin with a report of results from a national study of journal editors in the field. After thus broadly surveying the role of the editor, editors from five journals will offer brief (5â€“7 minutes) remarks on the state of editing.",NA
Melissa Ianetta,University of Delaware,NA,"""Dull Duty"" and Disciplinary Issues: A Roundtable with NCTE Editors The purpose of this session is to broaden our understanding of the often-invisible processes and people who serve as guides and gatekeeper of our field's periodicals. In order to help us better understand editorial practices and challenges, this session will begin with a report of results from a national study of journal editors in the field. After thus broadly surveying the role of the editor, editors from five journals will offer brief (5â€“7 minutes) remarks on the state of editing.",NA
Amy Lynch-Biniek,Kutztown University,NA,"""Dull Duty"" and Disciplinary Issues: A Roundtable with NCTE Editors The purpose of this session is to broaden our understanding of the often-invisible processes and people who serve as guides and gatekeeper of our field's periodicals. In order to help us better understand editorial practices and challenges, this session will begin with a report of results from a national study of journal editors in the field. After thus broadly surveying the role of the editor, editors from five journals will offer brief (5â€“7 minutes) remarks on the state of editing.",NA
Shareen Grogan,National University,NA,Seasons of a Writing Teacher's Life: Sustaining Energy throughout Our Careers,"This Cultivate session will allow for a conversation about the unique challenges and privileges specific to writing teachers at various stages of their careers. We will introduce a set of discussion questions and then facilitate a workshop-style forum in order to glean from the group's collective wisdom effective strategies, innovative solutions, and even positive reframing techniques that can help usâ€”and colleagues at our home institutionsâ€”sustain our energy through the seasons of our careers. We hope that one outcome of the session will be a series of concrete strategies to bring homeâ€”or to advance to the CCCC for a position statementâ€”in order to retain and cultivate teachers across the lifespan of their careers in both formal and informal ways."
Alyssa O'Brien,The University of Sydney NA,NA,Seasons of a Writing Teacher's Life: Sustaining Energy throughout Our Careers,"This Cultivate session will allow for a conversation about the unique challenges and privileges specific to writing teachers at various stages of their careers. We will introduce a set of discussion questions and then facilitate a workshop-style forum in order to glean from the group's collective wisdom effective strategies, innovative solutions, and even positive reframing techniques that can help usâ€”and colleagues at our home institutionsâ€”sustain our energy through the seasons of our careers. We hope that one outcome of the session will be a series of concrete strategies to bring homeâ€”or to advance to the CCCC for a position statementâ€”in order to retain and cultivate teachers across the lifespan of their careers in both formal and informal ways."
Debarati Dutta,University of North Carolina,NA,"""The Empire Writes Back"": Toward a Geopolitical Paradigm of Translingualism",Sponsored by the Asian/Asian American Caucus This Asian/Asian American Caucus-sponsored roundtable offers a geopolitical lens for studying translingual communication in South Asia.
Debarati Dutta,University of North Carolina,NA,"""The Empire Writes Back"": Toward a Geopolitical Paradigm of Translingualism",Sponsored by the Asian/Asian American Caucus This Asian/Asian American Caucus-sponsored roundtable offers a geopolitical lens for studying translingual communication in South Asia.
Rashi Jain,Montgomery College,NA,"""The Empire Writes Back"": Toward a Geopolitical Paradigm of Translingualism",Sponsored by the Asian/Asian American Caucus This Asian/Asian American Caucus-sponsored roundtable offers a geopolitical lens for studying translingual communication in South Asia.
Sonia Sharmin,University of Georgia,NA,"""The Empire Writes Back"": Toward a Geopolitical Paradigm of Translingualism",Sponsored by the Asian/Asian American Caucus This Asian/Asian American Caucus-sponsored roundtable offers a geopolitical lens for studying translingual communication in South Asia.
Suresh Canagarajah,Penn State University NA,NA,"""The Empire Writes Back"": Toward a Geopolitical Paradigm of Translingualism",Sponsored by the Asian/Asian American Caucus This Asian/Asian American Caucus-sponsored roundtable offers a geopolitical lens for studying translingual communication in South Asia.
Ashley Ludewig,University of Louisville,NA,How WPAs Can Build Capacity for Student Veteran Learning,"Sponsored by the Writing with Current, Former, and Future Members of the Military Standing Group Speakers and audience will address curricular and pedagogical questions about how WPAs can build capacity for serving student veterans."
Jeffrey Turner,Joint Forces Staff College/National Defense University,NA,How WPAs Can Build Capacity for Student Veteran Learning,"Sponsored by the Writing with Current, Former, and Future Members of the Military Standing Group Speakers and audience will address curricular and pedagogical questions about how WPAs can build capacity for serving student veterans."
Kuhio Walters,West Chester University,NA,How WPAs Can Build Capacity for Student Veteran Learning,"Sponsored by the Writing with Current, Former, and Future Members of the Military Standing Group Speakers and audience will address curricular and pedagogical questions about how WPAs can build capacity for serving student veterans."
Cathrine White-Hoekstra,Southern Illinois University/John A. Logan College,NA,How WPAs Can Build Capacity for Student Veteran Learning,"Sponsored by the Writing with Current, Former, and Future Members of the Military Standing Group Speakers and audience will address curricular and pedagogical questions about how WPAs can build capacity for serving student veterans."
Steve Bailey,Central Michigan University NA,NA,How WPAs Can Build Capacity for Student Veteran Learning,"Sponsored by the Writing with Current, Former, and Future Members of the Military Standing Group Speakers and audience will address curricular and pedagogical questions about how WPAs can build capacity for serving student veterans."
Jaquelyn Davis,University of Nevada,NA,Ecocomposition and Empowerment: Service-Learning as a Vehicle for Implementing Ecological Pedagogy We offer our model to explore the practical application of ecocomposition using service-learning and foster discussion about best practice.,NA
John Ellis,Saint Mary's College of California,NA,Ecocomposition and Empowerment: Service-Learning as a Vehicle for Implementing Ecological Pedagogy We offer our model to explore the practical application of ecocomposition using service-learning and foster discussion about best practice.,NA
Ruth Sylvester,Saint Mary's College of California NA,NA,Ecocomposition and Empowerment: Service-Learning as a Vehicle for Implementing Ecological Pedagogy We offer our model to explore the practical application of ecocomposition using service-learning and foster discussion about best practice.,NA
Resa Crane Bizzaro,Indiana University of Pennsylvania,Writing and Rhetorical Sovereignty: Strategies for Creating Change in,Cultivating Roses: Native Women Writing for Action,This panel celebrates the ways Native women use writing to rewrite narratives perpetuated by the dominant discourse.
Rose Gubele,University of Central Missouri,Standing with the Red Shawls: The Rhetoric of Digression in The Round House,Cultivating Roses: Native Women Writing for Action,This panel celebrates the ways Native women use writing to rewrite narratives perpetuated by the dominant discourse.
Kenlea Pebbles,Michigan State University,Indigenous Women's Voices and Words: How Social Media Can Create Awareness and Change,Cultivating Roses: Native Women Writing for Action,This panel celebrates the ways Native women use writing to rewrite narratives perpetuated by the dominant discourse.
LuMing Mao,Miami University,NA,Socially Just Pedagogy for the College English Classroom,This panel seeks to evaluate Asao Inoue's assertions for holistic classroom ecologies that allow for equality in assessing students.
Danielle Bacigalupo,St. John's University,NA,Socially Just Pedagogy for the College English Classroom,This panel seeks to evaluate Asao Inoue's assertions for holistic classroom ecologies that allow for equality in assessing students.
Raquel Corona,St. John's University,NA,Socially Just Pedagogy for the College English Classroom,This panel seeks to evaluate Asao Inoue's assertions for holistic classroom ecologies that allow for equality in assessing students.
Carolyn Salazar Nunez,St. John's University,NA,Socially Just Pedagogy for the College English Classroom,This panel seeks to evaluate Asao Inoue's assertions for holistic classroom ecologies that allow for equality in assessing students.
Asao Inoue,University of Washington,NA,Socially Just Pedagogy for the College English Classroom,This panel seeks to evaluate Asao Inoue's assertions for holistic classroom ecologies that allow for equality in assessing students.
Rosanne Carlo,College of Staten Island (CUNY),What To Do When You're New: Developing Institutional Literacies through an,"Radical Localism: Cultivating Institutional Literacies for Community Engagement This panel explores the cultivation of institutional literacies from three different perspectives, institutions, and community partnerships.",NA
Adam Hubrig,University of Nebraska-Lincoln,Possible Positionalities: (Re)Imagining Graduate Studentâ€“Run Community Engagement's Place,"Radical Localism: Cultivating Institutional Literacies for Community Engagement This panel explores the cultivation of institutional literacies from three different perspectives, institutions, and community partnerships.",NA
Rachael Wendler Shah,University of Nebraska-Lincoln,Giving Teeth to Reciprocity: Community Members Grading Students,"Radical Localism: Cultivating Institutional Literacies for Community Engagement This panel explores the cultivation of institutional literacies from three different perspectives, institutions, and community partnerships.",NA
Jessica Shumake,University of Arizona,Giving Teeth to Reciprocity: Community Members Grading Students,"Radical Localism: Cultivating Institutional Literacies for Community Engagement This panel explores the cultivation of institutional literacies from three different perspectives, institutions, and community partnerships.",NA
Scott Wible,University of Maryland,NA,Cultivating Innovation: Design Thinking in the Composition Classroom,"This session explores theoretical and pedagogical connections between design thinking, composition studies, and the writing classroom."
Angela Glotfelter,Miami University of Ohio,Participatory Design Thinking: Teaching Human-Centric Problem-Solving in the,Cultivating Innovation: Design Thinking in the Composition Classroom,"This session explores theoretical and pedagogical connections between design thinking, composition studies, and the writing classroom."
William C. Kurlinkus,The University of Oklahoma,Making as Research: Adopting Design Methods in First-Year Composition,Cultivating Innovation: Design Thinking in the Composition Classroom,"This session explores theoretical and pedagogical connections between design thinking, composition studies, and the writing classroom."
Sarah Summers,Rose-Hulman Institute of Technology,Design Thinking and Team Writing: The Benefits of Prototyping in the Technical Writing,Cultivating Innovation: Design Thinking in the Composition Classroom,"This session explores theoretical and pedagogical connections between design thinking, composition studies, and the writing classroom."
Scott Wible,University of Maryland,Critical Designs for the Composition Classroom,Cultivating Innovation: Design Thinking in the Composition Classroom,"This session explores theoretical and pedagogical connections between design thinking, composition studies, and the writing classroom."
Jody Shipka,University of Maryland,Worlds of Involvement: From the Hobby to the Scholarly,"Cultivating Compositional Rhythms, Intensities, Movements",Four unique approaches to writing and rhetorics cultivate new disciplinary knowledge while remaining rooted in personal interests and cares.
Aaron Beveridge,University of Florida,Why Text Still Matters,"Cultivating Compositional Rhythms, Intensities, Movements",Four unique approaches to writing and rhetorics cultivate new disciplinary knowledge while remaining rooted in personal interests and cares.
Laurie Gries,University of Colorado Boulder,Doing Visual Studies in a Digital Age,"Cultivating Compositional Rhythms, Intensities, Movements",Four unique approaches to writing and rhetorics cultivate new disciplinary knowledge while remaining rooted in personal interests and cares.
