presentation_title,speaker,institution,session_title,time,room,building,year,society
"The Poetics of Scale in Werner Heisenberg, Primo Levi, and Lewis Thomas",Derek Woods,Rice Univ.,Size and Scale in Literature and Culture,10:15–11:30 a.m.,Cook,Chicago Marriott,2014,MLA
The Too-Big and the Too-Small: Literary Representation and the Atomic Bomb,David Wittenberg,Univ. of Iowa,Size and Scale in Literature and Culture,10:15–11:30 a.m.,Cook,Chicago Marriott,2014,MLA
The Aesthetics of Scaling: Babel and The Wire,Oded Nir,Ohio State Univ.,Size and Scale in Literature and Culture,10:15–11:30 a.m.,Cook,Chicago Marriott,2014,MLA
NA,Suzanne Wintsch Churchill,Davidson Coll.,Vulnerable Times in the Archive: Forgotten Modernist Literary Magazines,10:15–11:30 a.m.,Kane,Chicago Marriott,2014,MLA
NA,Anne Donlon,Graduate Center,Vulnerable Times in the Archive: Forgotten Modernist Literary Magazines,10:15–11:30 a.m.,Kane,Chicago Marriott,2014,MLA
NA,Paul Hjartarson,Univ. of Alberta,Vulnerable Times in the Archive: Forgotten Modernist Literary Magazines,10:15–11:30 a.m.,Kane,Chicago Marriott,2014,MLA
NA,Hannah McGregor,Univ. of Alberta,Vulnerable Times in the Archive: Forgotten Modernist Literary Magazines,10:15–11:30 a.m.,Kane,Chicago Marriott,2014,MLA
NA,Elizabeth O'Connor,Washington Coll.,Vulnerable Times in the Archive: Forgotten Modernist Literary Magazines,10:15–11:30 a.m.,Kane,Chicago Marriott,2014,MLA
Excessive Subjects in a State of Consensus,Luisa Elena Delgado,Univ. of Illinois,"Catalonia, Spain, Europe: Vulnerable Cultures and Weak Politics",10:15–11:30 a.m.,Erie,Sheraton Chicago,2014,MLA
Sharing Democratic Affect: A Reading of the September 2012 Rallies in Catalonia,Javier Krauel,Univ. of Colorado,"Catalonia, Spain, Europe: Vulnerable Cultures and Weak Politics",10:15–11:30 a.m.,Erie,Sheraton Chicago,2014,MLA
Catalan Separatism: Constituent Power and Weak Sovereignty,Edgar Illas,NA,"Catalonia, Spain, Europe: Vulnerable Cultures and Weak Politics",10:15–11:30 a.m.,Erie,Sheraton Chicago,2014,MLA
In the Service of . . . : Humanities and Vulnerability,John H. Smith,NA,"Responding to Our Times: The Humanities and/as ""Service"" [canceled]",10:15–11:30 a.m.,Superior A,Sheraton Chicago,2014,MLA
'This Laboring Fight': Arendt's Menial Hermeneutics,Jeffrey Champlin,Bard Coll.,"Responding to Our Times: The Humanities and/as ""Service"" [canceled]",10:15–11:30 a.m.,Superior A,Sheraton Chicago,2014,MLA
The Vulnerability of the Language Teacher in an Era of Globalization,Claire J. Kramsch,Univ. of California,"Responding to Our Times: The Humanities and/as ""Service"" [canceled]",10:15–11:30 a.m.,Superior A,Sheraton Chicago,2014,MLA
After Images: Boychild and Wild Vulnerability,Jack Halberstam,NA,The Queer Art of Vulnerability,10:15–11:30 a.m.,Chicago A–B,Chicago Marriott,2014,MLA
Racial (In)Vulnerability: The Wild Child from The Jungle Book to Beasts of the Southern Wild,Tavia Nyong'o,New York Univ.,The Queer Art of Vulnerability,10:15–11:30 a.m.,Chicago A–B,Chicago Marriott,2014,MLA
Campus Security,Jennifer Doyle,Univ. of California,The Queer Art of Vulnerability,10:15–11:30 a.m.,Chicago A–B,Chicago Marriott,2014,MLA
The Empty Orchestra and the Vulnerable Critic,Karen Tongson,Univ. of Southern California,The Queer Art of Vulnerability,10:15–11:30 a.m.,Chicago A–B,Chicago Marriott,2014,MLA
'Wild Irish' and 'Redskins':  Decolonizing Irish and Native American Identities,Heather Brown,Kent State Univ.,Transatlantic Ireland,10:15–11:30 a.m.,McHenry,Chicago Marriott,2014,MLA
"Rereading, Writing, and Terror: Frank Harris's Transatlantic Bombs",Aaron Matthew Percich,West Virginia Univ.,Transatlantic Ireland,10:15–11:30 a.m.,McHenry,Chicago Marriott,2014,MLA
"Multiple Crossings: Transatlantic and Transhistorical Voices in the Pogues' 'If I Should Fall from Grace with God,'"" Noreen O'Connor, King's Coll.",NA,NA,Transatlantic Ireland,10:15–11:30 a.m.,McHenry,Chicago Marriott,2014,MLA
Fama Virtutis Stimulus: Allegory and the Emblem in the Early Modern,Christine M. Probes,Univ. of South Florida,The Written Image: Allegory as Reflection between Ornament and Sign,10:15–11:30 a.m.,Missouri,Sheraton Chicago,2014,MLA
The Politics of Baroque Allegory: Figuration and Practical Politics in Gryphius's Leo Armenius,Florian Baranyi,Univ. of Vienna,The Written Image: Allegory as Reflection between Ornament and Sign,10:15–11:30 a.m.,Missouri,Sheraton Chicago,2014,MLA
The Labor of the Emblem: W. G. Sebald's Iconotextual Poetics,Luisa Banki,Universität Konstanz,The Written Image: Allegory as Reflection between Ornament and Sign,10:15–11:30 a.m.,Missouri,Sheraton Chicago,2014,MLA
Re-placing Synchronous Classrooms at Stanford's Online High School,Adam Rzepka,Stanford Univ.,Beyond the MOOC: The Online Seminar,10:15–11:30 a.m.,Grace,Chicago Marriott,2014,MLA
The United States and the Middle East at the Virtual Table,Maggie N. Nassif,Brigham Young Univ.,Beyond the MOOC: The Online Seminar,10:15–11:30 a.m.,Grace,Chicago Marriott,2014,MLA
"Engaging Long-Distance Learners: Personalization, Communication, and Application Integration",Erin Kingsley,Univ. of Colorado,Beyond the MOOC: The Online Seminar,10:15–11:30 a.m.,Grace,Chicago Marriott,2014,MLA
Staging Taiwan in the Name and Voice of New Immigrants,Tzu-Hui Celina Hung,New York Univ.,Sinophone Studies in Translation: Thinking Comparatively and Relationally,10:15–11:30 a.m.,Columbus,Sheraton Chicago,2014,MLA
Contemporary Singaporean Poetry: Meditations on a Translational Sinophone Expression,E. K. Tan,NA,Sinophone Studies in Translation: Thinking Comparatively and Relationally,10:15–11:30 a.m.,Columbus,Sheraton Chicago,2014,MLA
"Moving Serenades:  Hearing 'Sinophone Geographies of Affect' in Rose, Rose, I Love You",Lily Wong,American Univ.,Sinophone Studies in Translation: Thinking Comparatively and Relationally,10:15–11:30 a.m.,Columbus,Sheraton Chicago,2014,MLA
After Provincializing China: The Fragile Architecture of Global Chinese Medicine,Howard Chiang,Univ. of Warwick,Sinophone Studies in Translation: Thinking Comparatively and Relationally,10:15–11:30 a.m.,Columbus,Sheraton Chicago,2014,MLA
George Lippard and Philadelphia's Cheap Fiction Marketplace,Dustin Kennedy,NA,Reading Class in Nineteenth-Century American Popular Publishing,10:15–11:30 a.m.,Sheffield,Chicago Marriott,2014,MLA
Between Light and Shadow: Nineteenth-Century Broadway and the Makers of Gaslight Literature,Blevin Shelnutt,New York Univ.,Reading Class in Nineteenth-Century American Popular Publishing,10:15–11:30 a.m.,Sheffield,Chicago Marriott,2014,MLA
Trash and Truth: The Centrality of Marginal Publishers of 'True Crime' Pamphlets in Antebellum Print Culture,Sara Lynn Crosby,Ohio State Univ.,Reading Class in Nineteenth-Century American Popular Publishing,10:15–11:30 a.m.,Sheffield,Chicago Marriott,2014,MLA
Publishing Laura Jean Libbey,Lisa Ann Long,North Central Coll.,Reading Class in Nineteenth-Century American Popular Publishing,10:15–11:30 a.m.,Sheffield,Chicago Marriott,2014,MLA
"Writer for Mayor: Jonathan Lethem, Norman Mailer, and Post-9/11 New York",Jeffrey Severs,Univ. of British Columbia,Space and Belonging in Post-9/11 US American Literature,10:15–11:30 a.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
Smoking on the Streets of New York: Art Spiegelman as 'Rooted Cosmopolitan' in the Shadow of September 11,Jeffrey Clapp,Univ. of California,Space and Belonging in Post-9/11 US American Literature,10:15–11:30 a.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
Meditations on Terror: Mahvish Rukhsana Khan's My Guantanamo Diary,Manori Neelika Jayawardane,State Univ. of New York,Space and Belonging in Post-9/11 US American Literature,10:15–11:30 a.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
The Postapocalyptic Present,Andrew Hoberek,Univ. of Missouri,Temporality and the Contemporary American Novel,10:15–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
Novels of the Anthropocene,Kate Marshall,Univ. of Notre Dame,Temporality and the Contemporary American Novel,10:15–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
Present Is Past:  Time and History in the Twenty-First-Century Ethnic American Novel,Gordon N. Hutner,NA,Temporality and the Contemporary American Novel,10:15–11:30 a.m.,Belmont,Chicago Marriott,2014,MLA
NA,Adrienne Brown,Univ. of Chicago,Race in Neoliberalism's Televisual Imagination,10:15–11:30 a.m.,Indiana-Iowa,Chicago Marriott,2014,MLA
NA,Mollie Godfrey,James Madison Univ.,Race in Neoliberalism's Televisual Imagination,10:15–11:30 a.m.,Indiana-Iowa,Chicago Marriott,2014,MLA
NA,Jonathan W. Gray,John Jay Coll. of Criminal Justice,Race in Neoliberalism's Televisual Imagination,10:15–11:30 a.m.,Indiana-Iowa,Chicago Marriott,2014,MLA
NA,Eden Osucha,Bates Coll.,Race in Neoliberalism's Televisual Imagination,10:15–11:30 a.m.,Indiana-Iowa,Chicago Marriott,2014,MLA
NA,Jeremy Rosen,Univ. of Utah,Race in Neoliberalism's Televisual Imagination,10:15–11:30 a.m.,Indiana-Iowa,Chicago Marriott,2014,MLA
Grasping Spenser's 'Wicked Hand': The Material Poetics of Rupture in The Faerie Queene,J. K. Barret,Univ. of Texas,"Rethinking Renaissance Origins: Rupture, Revision, Resurrection",10:15–11:30 a.m.,Lincolnshire,Chicago Marriott,2014,MLA
Revising the Unwritten: On Poetic and Legal Performance in Sidney's Old Arcadia,Stephanie Elsky,Univ. of Wisconsin,"Rethinking Renaissance Origins: Rupture, Revision, Resurrection",10:15–11:30 a.m.,Lincolnshire,Chicago Marriott,2014,MLA
Resurrection as Lyric Temporality in Donne's Postmortem Poetry,Miriam Jacobson,Univ. of Georgia,"Rethinking Renaissance Origins: Rupture, Revision, Resurrection",10:15–11:30 a.m.,Lincolnshire,Chicago Marriott,2014,MLA
Foucault's Foresight: Mapping the Rise of the Neoliberal Age in The Birth of Biopower,Rosemarie Scullion,Univ. of Iowa,Where Is French Theory Today?,10:15–11:30 a.m.,Superior B,Sheraton Chicago,2014,MLA
Aller-Retour: The American Afterlife of French Theory,Bishupal Limbu,Portland State Univ.,Where Is French Theory Today?,10:15–11:30 a.m.,Superior B,Sheraton Chicago,2014,MLA
Radical Critique between the Arab Spring and Littérature-monde,Neil Doshi,Univ. of Pittsburgh,Where Is French Theory Today?,10:15–11:30 a.m.,Superior B,Sheraton Chicago,2014,MLA
"New Directions in Francophone, Postcolonial, and Subaltern Studies: Bayart's 'Carnaval académique' or Glissant's 'Querelle avec l'Histoire'?"" Jennifer Therese Howell, Illinois State Univ.",NA,NA,Where Is French Theory Today?,10:15–11:30 a.m.,Superior B,Sheraton Chicago,2014,MLA
Mystorical Play: On Ludic Invention of Knowledge,Jan Holmevik,Clemson Univ.,Gaming across the Curriculum: The Write Game,10:15–11:30 a.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
Replayability and Revision: Writing Over and Over,Cynthia Haynes,Clemson Univ.,Gaming across the Curriculum: The Write Game,10:15–11:30 a.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
Augmented Reality Games: Engines of Reflection,Virginia Kuhn,Univ. of Southern California,Gaming across the Curriculum: The Write Game,10:15–11:30 a.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Madeline Bassnett,Univ. of Western Ontario,Food and Early Modern Women,10:15–11:30 a.m.,Parlor C,Sheraton Chicago,2014,MLA
NA,Jennifer Davis,Univ. of Oklahoma,Food and Early Modern Women,10:15–11:30 a.m.,Parlor C,Sheraton Chicago,2014,MLA
NA,Laura Giannetti,Univ. of Miami,Food and Early Modern Women,10:15–11:30 a.m.,Parlor C,Sheraton Chicago,2014,MLA
NA,Carolyn A. Nadeau,Illinois Wesleyan Univ.,Food and Early Modern Women,10:15–11:30 a.m.,Parlor C,Sheraton Chicago,2014,MLA
NA,Dana Schumacher-Schmidt,Univ. of Minnesota,Food and Early Modern Women,10:15–11:30 a.m.,Parlor C,Sheraton Chicago,2014,MLA
NA,NA,NA,Open Hearing of the MLA Delegate Assembly,10:15–11:30 a.m.,Armitage,Chicago Marriott,2014,MLA
The (Pre)History of Literary Spanglish: Testimonies of the Californio Dialect,Covadonga Lamar Prieto,Univ. of California,English-Spanish Code Switching in Literary Texts: Is It Still Spanglish as We Know It?,10:15–11:30 a.m.,Arkansas,Sheraton Chicago,2014,MLA
Gloria Anzaldúa's  Discourse as a Mestiza and Queer Writer,Jorgelina Fidia Corbatta,Wayne State Univ.,English-Spanish Code Switching in Literary Texts: Is It Still Spanglish as We Know It?,10:15–11:30 a.m.,Arkansas,Sheraton Chicago,2014,MLA
"The Immigrant Gay and the Use of Spanglish in Ángel Lozada's No quiero quedarme sola y vacía: A Linguistic Transgression or a Struggle to Assimilation in the Late Capitalist City?"" Andres Aluma-Cazorla, Univ. of Illinois, Chicago",NA,NA,English-Spanish Code Switching in Literary Texts: Is It Still Spanglish as We Know It?,10:15–11:30 a.m.,Arkansas,Sheraton Chicago,2014,MLA
Radical Bilingualism in Killer Crónicas,Roshawnda Derrick,Wayne State Univ.,English-Spanish Code Switching in Literary Texts: Is It Still Spanglish as We Know It?,10:15–11:30 a.m.,Arkansas,Sheraton Chicago,2014,MLA
'Commonwealth Literature Does Not Exist': How Salman Rushdie and the Booker Prize Invented High-Pop Postcolonial Literature,Kara Lee Donnelly,Univ. of Notre Dame,Blockbusters and Best Sellers,10:15–11:30 a.m.,Chicago D,Chicago Marriott,2014,MLA
The Opposite of Modernism: John Galsworthy's Repeated Success,Matthew Levay,Harvard Univ.,Blockbusters and Best Sellers,10:15–11:30 a.m.,Chicago D,Chicago Marriott,2014,MLA
Beyond the Flawed Periodicity of a Black Chicago Renaissance,R. Baxter Miller,Univ. of Georgia,"When Chicago Was in Vogue: A ""Second Awakening"" in African American Art and Culture",10:15–11:30 a.m.,Great America,Chicago Marriott,2014,MLA
Welcome to Frye Street: Marita Bonner's Chicago Stories (1930–41),Lauren Gantz,Univ. of Texas,"When Chicago Was in Vogue: A ""Second Awakening"" in African American Art and Culture",10:15–11:30 a.m.,Great America,Chicago Marriott,2014,MLA
"Fragments of a Dream: Biography, Poetry, and the Recovery of Frank Marshall Davis",John Edgar Tidwell,Univ. of Kansas,"When Chicago Was in Vogue: A ""Second Awakening"" in African American Art and Culture",10:15–11:30 a.m.,Great America,Chicago Marriott,2014,MLA
Treasury of African American Folklore: The WPA's The Negro in Illinois,Brian Dolinar,Univ. of Illinois,"When Chicago Was in Vogue: A ""Second Awakening"" in African American Art and Culture",10:15–11:30 a.m.,Great America,Chicago Marriott,2014,MLA
NA,Laura R. Braunstein,Dartmouth Coll.,The Twenty-First-Century Library: Discovery Services versus Subject Specialists,10:15–11:30 a.m.,Huron,Chicago Marriott,2014,MLA
NA,Barbara Chen,MLA,The Twenty-First-Century Library: Discovery Services versus Subject Specialists,10:15–11:30 a.m.,Huron,Chicago Marriott,2014,MLA
NA,Sarah G. Wenzel,Univ. of Chicago,The Twenty-First-Century Library: Discovery Services versus Subject Specialists,10:15–11:30 a.m.,Huron,Chicago Marriott,2014,MLA
"Philip Roth, Narrative, and 'Professional Competition with Death,'"" Debra B. Shostak, Coll. of Wooster",NA,NA,"Joseph C. Landis, in Memoriam",10:15–11:30 a.m.,Colorado,Sheraton Chicago,2014,MLA
"How to Write Yiddish in English; or, Israel Zangwill's Children of the Ghetto",Jessica Valdez,New York Univ.,"Joseph C. Landis, in Memoriam",10:15–11:30 a.m.,Colorado,Sheraton Chicago,2014,MLA
Authenticity and Vernacularity in Sholem Aleichem's Monologues: A Variationist Approach,Isaac Bleaman,New York Univ.,"Joseph C. Landis, in Memoriam",10:15–11:30 a.m.,Colorado,Sheraton Chicago,2014,MLA
How Strategic Can They Be? Differences between Student and Instructor Attitudes toward Language Learning Strategies,Gregory Ebner,United States Military Acad.,Applying Linguistics to the Learning of Middle Eastern Languages,10:15–11:30 a.m.,Huron,Sheraton Chicago,2014,MLA
Needs-Analysis Informed Task Design in Arabic Foreign Language Programs in the United States: Insights from Learner Perceptions and Production,Maimoonah Al Khalil,King Saud Univ.,Applying Linguistics to the Learning of Middle Eastern Languages,10:15–11:30 a.m.,Huron,Sheraton Chicago,2014,MLA
Linguistic Advantages and Constraints in the Classroom: Judeo-Spanish as an L2,Bryan Kirschen,Univ. of California,Applying Linguistics to the Learning of Middle Eastern Languages,10:15–11:30 a.m.,Huron,Sheraton Chicago,2014,MLA
The Forms of Natural Law: Las Casas as a Reader of Motolinía,José Cárdenas Bunsen,Vanderbilt Univ.,"Political Animals: Nature, Culture, and Race in the Early Americas",10:15–11:30 a.m.,Parlor F,Sheraton Chicago,2014,MLA
Cultivating Nature in New Spain: Bernardo de Balbuena's 'Grandeza mexicana' (1604),Jorge Terukina,Coll. of William and Mary,"Political Animals: Nature, Culture, and Race in the Early Americas",10:15–11:30 a.m.,Parlor F,Sheraton Chicago,2014,MLA
'Monk' Lewis on the Isle of Devils: Monstrous Failures of Creolization in Journal of a West India Proprietor,J. Alexandra McGhee,Univ. of Rochester,"Political Animals: Nature, Culture, and Race in the Early Americas",10:15–11:30 a.m.,Parlor F,Sheraton Chicago,2014,MLA
"Narratives of Contamination: Representations of Race, Gender, and Disease in Early-Nineteenth-Century Cuban Fiction",J. Selene Zander,Univ. of California,"Political Animals: Nature, Culture, and Race in the Early Americas",10:15–11:30 a.m.,Parlor F,Sheraton Chicago,2014,MLA
"Speaking for the Trees: Margaret Cavendish, John Clare, and Voicing Nature",Bridget Mary Keegan,Creighton Univ.,John Clare: The Voices of Nature,10:15–11:30 a.m.,Chicago C,Chicago Marriott,2014,MLA
Clare's Air: Sound in Motion,Paul Chirico,Univ. of Cambridge,John Clare: The Voices of Nature,10:15–11:30 a.m.,Chicago C,Chicago Marriott,2014,MLA
John Clare: The Unusual and Challenging Natural Historian,Eric H. Robinson,Univ. of Massachusetts,John Clare: The Voices of Nature,10:15–11:30 a.m.,Chicago C,Chicago Marriott,2014,MLA
NA,Jonathan E. Freedman,Univ. of Michigan,"Henry James, Moral Philosophy, and Seeing Others",10:15–11:30 a.m.,Chicago G,Chicago Marriott,2014,MLA
NA,Dorothy J. Hale,Univ. of California,"Henry James, Moral Philosophy, and Seeing Others",10:15–11:30 a.m.,Chicago G,Chicago Marriott,2014,MLA
NA,Robert B. Pippin,Univ. of Chicago,"Henry James, Moral Philosophy, and Seeing Others",10:15–11:30 a.m.,Chicago G,Chicago Marriott,2014,MLA
NA,H. Meili Steele,Univ. of South Carolina,"Henry James, Moral Philosophy, and Seeing Others",10:15–11:30 a.m.,Chicago G,Chicago Marriott,2014,MLA
Styling the Ah Beng in Online Communication,David West Brown,Univ. of California,Diversity and Language Change,10:15–11:30 a.m.,Ontario,Sheraton Chicago,2014,MLA
Complex Predicates and Coverb Serialization: The Eastern Daly Language Family,Dorothea Hoffmann,Univ. of Chicago,Diversity and Language Change,10:15–11:30 a.m.,Ontario,Sheraton Chicago,2014,MLA
"Syllable- and Word-Final /s/ Reduction in Two Spanish Dialects: What Has Changed?"" Miguel Rincón, Purdue Univ., West Lafayette",NA,NA,Diversity and Language Change,10:15–11:30 a.m.,Ontario,Sheraton Chicago,2014,MLA
'G'migwendam ne . . . gaa ni zhewebag chi zhaazhe igo . . . Saakiiweesiipiiwiyonki?' (Do You All Remember . . . What Happened Long Ago . . . at the Place of the Coming Out River?),Michael Zimmerman,Jr.,Diversity and Language Change,10:15–11:30 a.m.,Ontario,Sheraton Chicago,2014,MLA
The Conversational Aesthetic of Margaret Fuller's Letters,Carter Neal,Indiana Univ.,The Genres of Margaret Fuller's Writing,10:15–11:30 a.m.,Old Town,Chicago Marriott,2014,MLA
"Margaret Fuller, Woman in the Nineteenth Century, and the Sermon",Martha Davidson,Central Texas Coll.,The Genres of Margaret Fuller's Writing,10:15–11:30 a.m.,Old Town,Chicago Marriott,2014,MLA
'Eternal Beauty from the Sculptured Stone': Fuller's Mysticism and Political Affect,Derric Ludens,Univ. of Iowa,The Genres of Margaret Fuller's Writing,10:15–11:30 a.m.,Old Town,Chicago Marriott,2014,MLA
Andrea Perrucci's Dell'arte rappresentativa and the Reshaping of Italian Performance Practices,Nancy L. D'Antuono,Saint Mary's Coll.,"Italians on Stage: Perceptions, Reception, and Imitations",10:15–11:30 a.m.,Ohio,Sheraton Chicago,2014,MLA
"Time on the Baroque Stage: Le vicende del tempo, by Bernardo Morando",Sebastiano Bazzichetto,Univ. of Toronto,"Italians on Stage: Perceptions, Reception, and Imitations",10:15–11:30 a.m.,Ohio,Sheraton Chicago,2014,MLA
Goldoni and Italian Comic Opera in Mid-Eighteenth-Century London,Francesca Luigia Savoia,Univ. of Pittsburgh,"Italians on Stage: Perceptions, Reception, and Imitations",10:15–11:30 a.m.,Ohio,Sheraton Chicago,2014,MLA
Columbus Sings! Operatic Italianità on the Four Hundredth Anniversary of the Discovery of the New World,Jonathan Hiller,Adelphi Univ.,"Italians on Stage: Perceptions, Reception, and Imitations",10:15–11:30 a.m.,Ohio,Sheraton Chicago,2014,MLA
Poetry in a Zone of Social Abandonment (John Clare),Sara Guyer,Univ. of Wisconsin,Life Drives: Organs and Assemblages,10:15–11:30 a.m.,Michigan A,Sheraton Chicago,2014,MLA
Electric Organs: Schelling's Systems of Nature,Leif Weatherby,New York Univ.,Life Drives: Organs and Assemblages,10:15–11:30 a.m.,Michigan A,Sheraton Chicago,2014,MLA
Pater's Brain-Building,Ramsey McGlazer,Univ. of California,Life Drives: Organs and Assemblages,10:15–11:30 a.m.,Michigan A,Sheraton Chicago,2014,MLA
The American Urban Jungle: Tarzan of the Apes and Chicago,Michelle Ann Abate,Ohio State Univ.,Deliver Us to Normal: Children's Literature and the Midwest,10:15–11:30 a.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
Coming of Age in a Divided City: Navigating Chicago Cultures in Sandra Cisneros's Poetic Bildungsroman and Veronica Roth's Dystopian Fiction,Suzanne Hopcroft,Yale Univ.,Deliver Us to Normal: Children's Literature and the Midwest,10:15–11:30 a.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
When Myth Becomes Truth: Adolescent Identity in Depression-Era Kansas,Jill Coste,San Diego State Univ.,Deliver Us to Normal: Children's Literature and the Midwest,10:15–11:30 a.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
Environmental Conservation and Racial Purity in the Fiction of Gene Stratton-Porter,Sarah Clere,The Citadel,Deliver Us to Normal: Children's Literature and the Midwest,10:15–11:30 a.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
NA,NA,NA,Navigating the Job Market,11:35–11:55 a.m.,Exhibit Hall Theater,Sheraton Chicago,2014,MLA
NA,Rey Andújar,Centro de Estudios Avanzados de Puerto Rico y el Caribe,Chicago Latina/o Writing: A Creative Conversation,12:00 noon–1:15 p.m.,Sheraton I,Sheraton Chicago,2014,MLA
NA,Brenda Cárdenas,Univ. of Wisconsin,Chicago Latina/o Writing: A Creative Conversation,12:00 noon–1:15 p.m.,Sheraton I,Sheraton Chicago,2014,MLA
NA,Paul Martínez Pompa,Triton Coll.,Chicago Latina/o Writing: A Creative Conversation,12:00 noon–1:15 p.m.,Sheraton I,Sheraton Chicago,2014,MLA
NA,Achy Obejas,Chicago,Chicago Latina/o Writing: A Creative Conversation,12:00 noon–1:15 p.m.,Sheraton I,Sheraton Chicago,2014,MLA
Narrative Approaches to Transmitting Regional Oral and Instrumental Literary Traditions in the Works of Aminata Sow Fall,Julie Ann Huntington,Marymount Manhattan Coll.,Women's Education in Third World Countries,12:00 noon–1:15 p.m.,Parlor G,Sheraton Chicago,2014,MLA
"Gender, Class, and Education: Intersections in South Asian Literature",Maryse Jayasuriya,Univ. of Texas,Women's Education in Third World Countries,12:00 noon–1:15 p.m.,Parlor G,Sheraton Chicago,2014,MLA
Women's Schooling in Clarice Lispector's Narrative: A Brazilian Education,Alejandro E. Latinez,Sam Houston State Univ.,Women's Education in Third World Countries,12:00 noon–1:15 p.m.,Parlor G,Sheraton Chicago,2014,MLA
Unconquered Territory: Nineteenth-Century Floridian Space and Seminole Presence,Kathryn Walkiewicz,Univ. of Illinois,"Native South: Past, Present, and Future",12:00 noon–1:15 p.m.,Northwestern–Ohio State,Chicago Marriott,2014,MLA
Dispossession and Instability: The Free Labor Market and Southern Anxieties in John Rollin Ridge's The Life and Adventures of Joaquín Murieta,W. Oliver Baker,Univ. of New Mexico,"Native South: Past, Present, and Future",12:00 noon–1:15 p.m.,Northwestern–Ohio State,Chicago Marriott,2014,MLA
'Coons and Possums among the Red Georgia Hills':  Rethinking Resistance through Native Souths,LaRose Davis,Inst. for Recruitment of Teachers,"Native South: Past, Present, and Future",12:00 noon–1:15 p.m.,Northwestern–Ohio State,Chicago Marriott,2014,MLA
A Book History of the Rise of the New Critics,Andrew Hines,Vanderbilt Univ.,Building a Book History of Criticism,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
"Hugh Kenner, William F. Buckley, Jr., and the National Review",Evan Kindley,Claremont McKenna Coll.,Building a Book History of Criticism,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
The Rise of the Criticism Anthology,Jeffrey J. Williams,Carnegie Mellon Univ.,Building a Book History of Criticism,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
NA,Michael Paul Abeyta,Univ. of Colorado,The Legacies of Carlos Fuentes,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Reindert Dhondt,Katholieke Universiteit Leuven,The Legacies of Carlos Fuentes,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Miguel Lopez-Lozano,Univ. of New Mexico,The Legacies of Carlos Fuentes,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Alfred Mac Adam,Barnard Coll.,The Legacies of Carlos Fuentes,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Pedro Angel Palou Garcia,Tufts Univ.,The Legacies of Carlos Fuentes,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Maarten H. van Delden,Univ. of California,The Legacies of Carlos Fuentes,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
The Medieval Stick and Exemplary Support,Moira K. Fitzgibbons,Marist Coll.,"Vulnerable Bodies, Vulnerable Texts: Prosthesis in Medieval Literature",12:00 noon–1:15 p.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
Elizabeth of Spalbeek: Prosthetic God,Agatha Hansen,Queens Univ.,"Vulnerable Bodies, Vulnerable Texts: Prosthesis in Medieval Literature",12:00 noon–1:15 p.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
Literary Genre and the Prosthesis of Empathy,Julie Orlemanski,Univ. of Chicago,"Vulnerable Bodies, Vulnerable Texts: Prosthesis in Medieval Literature",12:00 noon–1:15 p.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
How the Other Half Lives: Dividing Lines between the Audience and the Characters of Ramón Gómez de la Serna's Los medios seres,Janelle Gondar,Yale Univ.,Almost Human,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
"Horses, Figures, Costumes: Lorca's Antinormative Representations of Gender",Cristina Ionica,Western Univ.,Almost Human,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
El vanguardismo de un retablo: De Miguel de Cervantes a Manuel de Falla,Esther Fernández,Sarah Lawrence Coll.,Almost Human,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
Cinema's Threat to Drama: Automatons in Jacinto Grau's El señor de Pigmalión,Miguel Angel Balsa Marín,NA,Almost Human,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
