presenter_name,presenter_affiliation,presentation_title,session_title,session_description,year
Joel Wingard,Bethlehem,Me an Adjunct? Considerations for Teaching Part-Time,Cultivating Your Future: An Intergenerational Conversation on Paths towardâ€”and beyondâ€” Retirement,"Rhetoric and composition, like other fields, is in the early stages of a mass exodus of senior faculty as a generation of scholars goes into retirement; this carries momentous personal, professional, institutional, and political consequences. We need to foster field-wide discussion of the issues raised by this generational shift both for retiring faculty and for the profession. This Cultivate roundtable, sponsored by the SIG for Senior, Late Career, and Retired Professionals in Rhet/Comp/Writing Studies, brings together scholars from different generationsâ€”those  anticipating and planning retirement to those long-retiredâ€”to explore not only the personal dimension of retirement and the new horizons it opens, but also the impact such retirements have on the profession.",2017
Jamila Kareem,University of Louisville,NA,Think Tank for Racial and Social Justice in the Writing Program Administrators-Graduate Organization and Beyond,"Sponsored by the Writing Program Administrators-Graduate Organization The WPA-GO (Writing Program Administrators-Graduate Organization) invites attendees to an interactive Think Tank session where we develop concrete strategies for working toward a socially just future inside our professional organizations of CCCC and CWPA as well as in composition and rhetoric more broadly. As a graduate organization, we are dedicated to interrupting racism and bias, and we are also committed to ensuring that conference and disciplinary spaces represent the needs and interests of graduate students from historically marginalized and underrepresented groups. This featured session is designed to ""cultivate"" collaborative exchanges that are actionoriented and audience-engaged with the goal of explicitly confronting racism through critical and intersectional lenses. Recognizing that the work of undoing racism and bias is complex and situation-specific makes further conversation during and after the convention even more",2017
Mandy Macklin,University of Washington,NA,Think Tank for Racial and Social Justice in the Writing Program Administrators-Graduate Organization and Beyond,"Sponsored by the Writing Program Administrators-Graduate Organization The WPA-GO (Writing Program Administrators-Graduate Organization) invites attendees to an interactive Think Tank session where we develop concrete strategies for working toward a socially just future inside our professional organizations of CCCC and CWPA as well as in composition and rhetoric more broadly. As a graduate organization, we are dedicated to interrupting racism and bias, and we are also committed to ensuring that conference and disciplinary spaces represent the needs and interests of graduate students from historically marginalized and underrepresented groups. This featured session is designed to ""cultivate"" collaborative exchanges that are actionoriented and audience-engaged with the goal of explicitly confronting racism through critical and intersectional lenses. Recognizing that the work of undoing racism and bias is complex and situation-specific makes further conversation during and after the convention even more",2017
Sara P. Alvarez,University of Louisville,NA,"Centering Transnational Work: A Study of Writing Practices in Tertiary Education in Romania, Nepal, India, and Colombia",Sponsored by the Transnational Composition Standing Group This panel examines the discourses and pedagogies of writing at specific institutions in four countries.,2017
Christiane K. Donahue,Dartmouth and UniversitÃ© de Lille,NA,"Centering Transnational Work: A Study of Writing Practices in Tertiary Education in Romania, Nepal, India, and Colombia",Sponsored by the Transnational Composition Standing Group This panel examines the discourses and pedagogies of writing at specific institutions in four countries.,2017
Santosh Khadka,California State University,NA,"Centering Transnational Work: A Study of Writing Practices in Tertiary Education in Romania, Nepal, India, and Colombia",Sponsored by the Transnational Composition Standing Group This panel examines the discourses and pedagogies of writing at specific institutions in four countries.,2017
Ligia Mihut,Barry University,NA,"Centering Transnational Work: A Study of Writing Practices in Tertiary Education in Romania, Nepal, India, and Colombia",Sponsored by the Transnational Composition Standing Group This panel examines the discourses and pedagogies of writing at specific institutions in four countries.,2017
Brice Nordquist,Syracuse University,NA,"Centering Transnational Work: A Study of Writing Practices in Tertiary Education in Romania, Nepal, India, and Colombia",Sponsored by the Transnational Composition Standing Group This panel examines the discourses and pedagogies of writing at specific institutions in four countries.,2017
Ghanashyam Sharma,Stony Brook University NA,NA,"Centering Transnational Work: A Study of Writing Practices in Tertiary Education in Romania, Nepal, India, and Colombia",Sponsored by the Transnational Composition Standing Group This panel examines the discourses and pedagogies of writing at specific institutions in four countries.,2017
Christine Tulley,University of Findlay NA,NA,Think Tank for Newcomersâ€”Developing Papers and Sessions for CCCC 2018,"Sponsored by the CCCC Newcomers' Orientation Committee At this Think Tank, newcomers will have an opportunity to develop ideas for papers and sessions for CCCC 2018 under the guidance of established scholars in our field.",2017
Erica Frisicaro-Pawlowski,Daemen College,NA,"Self-Perception, Reflexivity, and Cultivation in ESL/EFL Student Learning","ESL/EFL/multilingual students' self-perceptions influence their learning, writing, and outcomes in writing classes.",2017
Heather Finn,"Borough of Manhattan Community College,",NA,"Self-Perception, Reflexivity, and Cultivation in ESL/EFL Student Learning","ESL/EFL/multilingual students' self-perceptions influence their learning, writing, and outcomes in writing classes.",2017
CUNY,"""Articulating Struggle: ESL Students' Perceived Obstacles to Success in a Developmental Writing Class""",Articulating Struggle: ESL Students' Perceived Obstacles to Success in a Developmental Writing Class,"Self-Perception, Reflexivity, and Cultivation in ESL/EFL Student Learning","ESL/EFL/multilingual students' self-perceptions influence their learning, writing, and outcomes in writing classes.",2017
Pearl Pang,Yonsei University,Lose That EFL Identity! Cultivating Writers Using Literacy Narratives as a Site of Reflective,"Self-Perception, Reflexivity, and Cultivation in ESL/EFL Student Learning","ESL/EFL/multilingual students' self-perceptions influence their learning, writing, and outcomes in writing classes.",2017
Carol Severino,University of Iowa,International Undergraduate Students' Perceptions of Their Second Language Writing Development,"Self-Perception, Reflexivity, and Cultivation in ESL/EFL Student Learning","ESL/EFL/multilingual students' self-perceptions influence their learning, writing, and outcomes in writing classes.",2017
Cheryl Glenn,Penn State University,NA,Four Perspectives on Mentoring Graduate Student Teachers of Composition,Panelists working as/with graduate student FYC instructors describe their experiences and specific strategies they have used for mentoring.,2017
Sarah Adams,Penn State University,Cultivating Collaborative Reflection: Mentoring with Video Recording,Four Perspectives on Mentoring Graduate Student Teachers of Composition,Panelists working as/with graduate student FYC instructors describe their experiences and specific strategies they have used for mentoring.,2017
Amanda Kellogg,Radford University,Critical Thinking in Teaching Communication and Communicating about Teaching,Four Perspectives on Mentoring Graduate Student Teachers of Composition,Panelists working as/with graduate student FYC instructors describe their experiences and specific strategies they have used for mentoring.,2017
Curry Kennedy,Penn State University,On Being Good Soil: Rhetorical Trust and the Role of the Graduate Mentee,Four Perspectives on Mentoring Graduate Student Teachers of Composition,Panelists working as/with graduate student FYC instructors describe their experiences and specific strategies they have used for mentoring.,2017
Frank Napolitano,Radford University,Resistance and Responsibility: Reshaping a Mentoring Program in the Face of Administrative and,Four Perspectives on Mentoring Graduate Student Teachers of Composition,Panelists working as/with graduate student FYC instructors describe their experiences and specific strategies they have used for mentoring.,2017
Laura Aull,Wake Forest University,NA,"Peer Review Research, Latent Semantic Methods, and Writing Analytics","Researchers from the University of South Florida and the University of Pennsylvania report on lessons learned based on 250,000 peer reviews.",2017
Joe Moxley,University of South Florida,Collaborating and Researching with My Reviewers,"Peer Review Research, Latent Semantic Methods, and Writing Analytics","Researchers from the University of South Florida and the University of Pennsylvania report on lessons learned based on 250,000 peer reviews.",2017
Rodger LeGrand,University of Pennsylvania,Using NVivio to Research the Peer Review Corpus,"Peer Review Research, Latent Semantic Methods, and Writing Analytics","Researchers from the University of South Florida and the University of Pennsylvania report on lessons learned based on 250,000 peer reviews.",2017
Lan Ngo,University of Pennsylvania,Latent Semantic Analysis of the Peer Review Corpus,"Peer Review Research, Latent Semantic Methods, and Writing Analytics","Researchers from the University of South Florida and the University of Pennsylvania report on lessons learned based on 250,000 peer reviews.",2017
Valerie Ross,University of Pennsylvania,Review of Peer Review Research and Theoretical Groundwork,"Peer Review Research, Latent Semantic Methods, and Writing Analytics","Researchers from the University of South Florida and the University of Pennsylvania report on lessons learned based on 250,000 peer reviews.",2017
Susan Ghiaciuc,James Madison University,NA,Discursive Agency in Illness: Empowering Everyday Writers to Cultivate Critical Communities Â ,Speakers analyze online writing communities that seek to bring together those suffering from three chronic conditions.,2017
Cynthia Martin,James Madison University,NA,Discursive Agency in Illness: Empowering Everyday Writers to Cultivate Critical Communities Â ,Speakers analyze online writing communities that seek to bring together those suffering from three chronic conditions.,2017
Cathryn Molloy,James Madison University,NA,Discursive Agency in Illness: Empowering Everyday Writers to Cultivate Critical Communities Â ,Speakers analyze online writing communities that seek to bring together those suffering from three chronic conditions.,2017
Bryna Siegel Finer,Indiana University of Pennsylvania NA,NA,Discursive Agency in Illness: Empowering Everyday Writers to Cultivate Critical Communities Â ,Speakers analyze online writing communities that seek to bring together those suffering from three chronic conditions.,2017
Kenlea Pebbles,Michigan State University,NA,Writing about Writing and Teaching for Transfer,Speakers consider the efficacy of Writing about Writing in multiple venues and genres.,2017
Veronica Flanagan,University of California,Teaching First-Year Composition in a College Core Course,Writing about Writing and Teaching for Transfer,Speakers consider the efficacy of Writing about Writing in multiple venues and genres.,2017
Joel Heng Hartse,Simon Fraser University,Implementing a Writingabout-Writing Approach in a High-Stakes Foundational Writing Course,Writing about Writing and Teaching for Transfer,Speakers consider the efficacy of Writing about Writing in multiple venues and genres.,2017
Ariel Zepeda,California State University,Reimagining Transfer through Multimodal Re-mediation,Writing about Writing and Teaching for Transfer,Speakers consider the efficacy of Writing about Writing in multiple venues and genres.,2017
Janine Butler,East Carolina University,NA,"Visual Spaces, Physical Places, and Social Action","These panelists engage how space, place, bodies, and visual rhetorics shape identities, history, and social action.",2017
Diana Epelbaum,Marymount Manhattan College,The Eighteenth-Century Woman Naturalist and the Student Writer: A,"Visual Spaces, Physical Places, and Social Action","These panelists engage how space, place, bodies, and visual rhetorics shape identities, history, and social action.",2017
Shannon Fanning,Iowa State University,Cultivating a New Understanding of Visuals in the Classroom: Teaching Visual Genres as,"Visual Spaces, Physical Places, and Social Action","These panelists engage how space, place, bodies, and visual rhetorics shape identities, history, and social action.",2017
Sarah Hirsch,University of California,Decoding the 'X': The Intersection of Visual Rhetoric and Materiality in Post-Katrina,"Visual Spaces, Physical Places, and Social Action","These panelists engage how space, place, bodies, and visual rhetorics shape identities, history, and social action.",2017
Jason Kalin,DePaul University,Writing with Time: Cultivating Temporal Visualities in Mobile Composition,"Visual Spaces, Physical Places, and Social Action","These panelists engage how space, place, bodies, and visual rhetorics shape identities, history, and social action.",2017
Michael Faris,Texas Tech University,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
Jennifer Buckner,Gardner Webb University,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
Jeremy Cushman,Western Washington University,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
Courtney Danforth,College of Southern Nevada,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
Shannon Kelly,Western Washington University,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
Ben McCorkle,The Ohio State University at Marion,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
Kyle D. Stedman,Rockford University NA,NA,Soundwriting Pedagogies: Teaching Audio and Cultivating Community,Roundtable participants discuss their experiences teaching with audio and invite others to join the community.,2017
John Pell,Whitworth University NA,NA,Implications for Embodied Rhetoric and Civic Engagement,Examines the relationship between embodiment and spatial rhetorics.,2017
Michael-John DePalma,Baylor University,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Anis Bawarshi,University of Washington,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Dan Fraizer,Springfield College,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Kali Mobley,University of Tennessee,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Mary Jo Reiff,University of Kansas,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Jeffrey Ringer,University of Tennessee,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Alisa Russell,University of Kansas,NA,"Transfer's Evolution: Changing Our Terms, Interrogating Our Methodologies for Studying Transfer A roundtable discussion about the changing terms for naming and methodologies for researching transfer.",NA,2017
Diane Kelly-Riley,University of Idaho,NA,Learning First: Creating Sustainable Change through K-12/University Writing and Assessment Partnerships,Panelists and respondent describe and analyze several school-university writing and assessment partnerships designed to put learning first.,2017
Bob Broad,Illinois State University,When Good Ideas Go Unsustained,Learning First: Creating Sustainable Change through K-12/University Writing and Assessment Partnerships,Panelists and respondent describe and analyze several school-university writing and assessment partnerships designed to put learning first.,2017
Chris Gallagher,Northeastern University,Learning on Three Legs: A Model for Sustainable K-12/University/Community,Learning First: Creating Sustainable Change through K-12/University Writing and Assessment Partnerships,Panelists and respondent describe and analyze several school-university writing and assessment partnerships designed to put learning first.,2017
Diane Kelly-Riley,University of Idaho,Livin' in Our Own Private Idaho: Sustaining School-University Partnerships in a State,Learning First: Creating Sustainable Change through K-12/University Writing and Assessment Partnerships,Panelists and respondent describe and analyze several school-university writing and assessment partnerships designed to put learning first.,2017
Christine Farris,Indiana University NA,NA,Learning First: Creating Sustainable Change through K-12/University Writing and Assessment Partnerships,Panelists and respondent describe and analyze several school-university writing and assessment partnerships designed to put learning first.,2017
Kristi Girdharry,Johnson & Wales University,NA,Multiple Perspectives in New Materialist Rhetorics,Panelist discuss the affordances of new materialist rhetorics in a variety of venues.,2017
Devon Cook,Purdue University,Letterpress Typesetting as a Composition Practice: A New Materialist Approach,Multiple Perspectives in New Materialist Rhetorics,Panelist discuss the affordances of new materialist rhetorics in a variety of venues.,2017
Benjamin Harley,University of South Carolina,Cultivating an Ecological Public,Multiple Perspectives in New Materialist Rhetorics,Panelist discuss the affordances of new materialist rhetorics in a variety of venues.,2017
Alex Parrish,James Madison University,"Humans, Dolphins, and Other People: Cultivating an Expansive View of Rhetorical Theory and",Multiple Perspectives in New Materialist Rhetorics,Panelist discuss the affordances of new materialist rhetorics in a variety of venues.,2017
R. Mark Hall,University of Central Florida,NA,Emergent Transfer in Action: Researching Transfer of Learning in Writing Centers,This panel will engage attendees in extended conversation to analyze potential moments of transfer in writing center consultations.,2017
Bradley Hughes,University of Wisconsin-Madison,NA,Emergent Transfer in Action: Researching Transfer of Learning in Writing Centers,This panel will engage attendees in extended conversation to analyze potential moments of transfer in writing center consultations.,2017
Rebecca Nowacek,Marquette University NA,NA,Emergent Transfer in Action: Researching Transfer of Learning in Writing Centers,This panel will engage attendees in extended conversation to analyze potential moments of transfer in writing center consultations.,2017
Jacqueline (Lyn) Megow,Eastern Washington University,Aurality and Reflection: A Multimodal Statement of Writing,Aurality in the Composition Classroom,"Aural texts, alongside visual, digital, and written texts, improve analysis, research, and reflection in the composition classroom.",2017
Kate Peterson,Eastern Washington University,Podcast as Pedagogy: Authorial Agency in the Research Process,Aurality in the Composition Classroom,"Aural texts, alongside visual, digital, and written texts, improve analysis, research, and reflection in the composition classroom.",2017
Liz Rognes,Eastern Washington University,'Listening In' and Rhetorical Analysis of Audio Texts,Aurality in the Composition Classroom,"Aural texts, alongside visual, digital, and written texts, improve analysis, research, and reflection in the composition classroom.",2017
Laura Brady,West Virginia University,NA,"Confluence and Navigation: Graduate Students, Faculty, and Disciplinary Currents","We will present research on graduate writing from two research-intensive universities, survey support strategies, and invite discussion.",2017
Laura Brady,West Virginia University,NA,"Confluence and Navigation: Graduate Students, Faculty, and Disciplinary Currents","We will present research on graduate writing from two research-intensive universities, survey support strategies, and invite discussion.",2017
Susan Lawrence,George Mason University,NA,"Confluence and Navigation: Graduate Students, Faculty, and Disciplinary Currents","We will present research on graduate writing from two research-intensive universities, survey support strategies, and invite discussion.",2017
Nathalie Singh-Corcoran,West Virginia University,NA,"Confluence and Navigation: Graduate Students, Faculty, and Disciplinary Currents","We will present research on graduate writing from two research-intensive universities, survey support strategies, and invite discussion.",2017
Terry Zawacki,George Mason University NA,NA,"Confluence and Navigation: Graduate Students, Faculty, and Disciplinary Currents","We will present research on graduate writing from two research-intensive universities, survey support strategies, and invite discussion.",2017
Brian Larson,Georgia Institute of Technology,NA,"Creative Collaborations: Cultivating New Voices from the Undergraduate Legal Writing Community Emphasizing creativity and collaboration, panelists cultivate a space for legal writing in undergraduate English curricula.",NA,2017
Antonio Elefano,University of Southern California,And Justice for All: What Non-Lawyers Can Learn from Legal Writing,"Creative Collaborations: Cultivating New Voices from the Undergraduate Legal Writing Community Emphasizing creativity and collaboration, panelists cultivate a space for legal writing in undergraduate English curricula.",NA,2017
Lindsay Head,Louisiana State University,Initial Implementation: Grading Contracts and Course Design in Undergraduate Legal Writing,"Creative Collaborations: Cultivating New Voices from the Undergraduate Legal Writing Community Emphasizing creativity and collaboration, panelists cultivate a space for legal writing in undergraduate English curricula.",NA,2017
Lisa-Jane Klotz,University of California,Opening Arguments: Introducing Legal Discourse to Pre-Law Students,"Creative Collaborations: Cultivating New Voices from the Undergraduate Legal Writing Community Emphasizing creativity and collaboration, panelists cultivate a space for legal writing in undergraduate English curricula.",NA,2017
Phil Mink,University of Delaware,The Rhetoric of the Law: Teaching Pre-Law Students to Write Like Judges,"Creative Collaborations: Cultivating New Voices from the Undergraduate Legal Writing Community Emphasizing creativity and collaboration, panelists cultivate a space for legal writing in undergraduate English curricula.",NA,2017
Willie Schatz,University of Maryland,Torts and Courts for Undergrads,"Creative Collaborations: Cultivating New Voices from the Undergraduate Legal Writing Community Emphasizing creativity and collaboration, panelists cultivate a space for legal writing in undergraduate English curricula.",NA,2017
Jennifer Clifton,University of Texas at El Paso,Phronesis for Contemporary Public Life: Toward an Integrated Model of Rhetorical,Naming the Tools: The Pedagogy and Practice of Community-Based Writing and Research,This panel theorizes rhetorical tools for the public work of rhetoric when that work is most needed and most vexed.,2017
Elenore Long,Arizona State University,Detangling Empowerment Knots: Configuring Knowledge Work to Support Joint,Naming the Tools: The Pedagogy and Practice of Community-Based Writing and Research,This panel theorizes rhetorical tools for the public work of rhetoric when that work is most needed and most vexed.,2017
Deborah Mutnick,Long Island University,Naming the Rhetorical Tools for Building Democracy in Contested Urban Spaces,Naming the Tools: The Pedagogy and Practice of Community-Based Writing and Research,This panel theorizes rhetorical tools for the public work of rhetoric when that work is most needed and most vexed.,2017
Christopher Wilkey,Northern Kentucky University,Fighting Gentrification through Community Literacy: Democracy as Taking the,Naming the Tools: The Pedagogy and Practice of Community-Based Writing and Research,This panel theorizes rhetorical tools for the public work of rhetoric when that work is most needed and most vexed.,2017
Deborah Bertsch,Columbus State Community College,NA,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Deborah Bertsch,Columbus State Community College,"Cultivating Partnerships: Collaborating with Apple Education,",Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Instructional Designers,Librarians,NA,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Don Bruce,Columbus State Community College,Creating Pedagogy:,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Re-seeing Widgets,Learning Objects,NA,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Rebecca Fleming,Columbus State Community College,"(Re)Conceptualizing Academic Labor: Working as Developers,",Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Reviewers,Advocates,NA,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Nicholas Lakostik,Columbus State Community College,Creating,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Re-seeing Widgets,Learning Objects,NA,Changing Course: Creating an Interactive iBook for First-Year Composition,Panelists reflect on how they reconceptualized their roles and work as compositionists in the process of creating an interactive FYC iBook.,2017
Ryan Skinnell,San Jose State University,NA,"Interrogating History in the Interspaces: Rhetoric, Composition, and Metadata Tools",This panel critically examines various approaches to and challenges of re/ creating composition's histories through metadata tools.,2017
Tarez Samra Graban,Florida State University,Intellectual Encounters as Digital Epistemology,"Interrogating History in the Interspaces: Rhetoric, Composition, and Metadata Tools",This panel critically examines various approaches to and challenges of re/ creating composition's histories through metadata tools.,2017
Gerald Jackson,University of South Carolina,Genealogies as Performative Works,"Interrogating History in the Interspaces: Rhetoric, Composition, and Metadata Tools",This panel critically examines various approaches to and challenges of re/ creating composition's histories through metadata tools.,2017
Jenna Morton-Aiken,University of Rhode Island,Code as a Form of Control,"Interrogating History in the Interspaces: Rhetoric, Composition, and Metadata Tools",This panel critically examines various approaches to and challenges of re/ creating composition's histories through metadata tools.,2017
Ryan Skinnell,San Jose State University NA,NA,"Interrogating History in the Interspaces: Rhetoric, Composition, and Metadata Tools",This panel critically examines various approaches to and challenges of re/ creating composition's histories through metadata tools.,2017
Lauren Cagle,University of Kentucky,NA,"Situated Histories: Stories, Sites, Maps, and Buildings","Presenters apply theories of space, place, and work to excavate sites of writing and rhetorical instruction.",2017
Brian Fehler,Texas Woman's University,On the Map:,"Situated Histories: Stories, Sites, Maps, and Buildings","Presenters apply theories of space, place, and work to excavate sites of writing and rhetorical instruction.",2017
Geographic Information Systems,Circumference Criticism,NA,"Situated Histories: Stories, Sites, Maps, and Buildings","Presenters apply theories of space, place, and work to excavate sites of writing and rhetorical instruction.",2017
David Hudson,University of Wisconsin-Madison,Cultivating Identities within Bureaucratic Culture: The Chicago Commons and Negotiating,"Situated Histories: Stories, Sites, Maps, and Buildings","Presenters apply theories of space, place, and work to excavate sites of writing and rhetorical instruction.",2017
Carl Schlachte,University of North Carolina at Greensboro,Material Inertia: The Sedimented Spatial Rhetoric of Public School Buildings,"Situated Histories: Stories, Sites, Maps, and Buildings","Presenters apply theories of space, place, and work to excavate sites of writing and rhetorical instruction.",2017
Jennifer Warfel Juszkiewicz,Indiana University-Bloomington,'I remember the classroom where . . .': The Spatial Stories We Tell,"Situated Histories: Stories, Sites, Maps, and Buildings","Presenters apply theories of space, place, and work to excavate sites of writing and rhetorical instruction.",2017
Iris Ruiz,University of California-Merced,NA,Cultivating Inclusion: Invitational Approaches to Rhetorical Instruction,Speakers discuss their use of intersectional/invitational approaches to foster inclusive spaces in the classroom and beyond.,2017
Christina Cedillo,University of Houston-Clear Lake,Accessibility and/as Eloquence: An Intersectional Approach to,Cultivating Inclusion: Invitational Approaches to Rhetorical Instruction,Speakers discuss their use of intersectional/invitational approaches to foster inclusive spaces in the classroom and beyond.,2017
Dagmar Scharold,University of Houston-Downtown,Relationality and Intersectionality in the Online Advanced Writing Classroom,Cultivating Inclusion: Invitational Approaches to Rhetorical Instruction,Speakers discuss their use of intersectional/invitational approaches to foster inclusive spaces in the classroom and beyond.,2017
Nancy Small,University of Wyoming,Professor at the Crossroads: Intercultural Communication and the International Branch Campus,Cultivating Inclusion: Invitational Approaches to Rhetorical Instruction,Speakers discuss their use of intersectional/invitational approaches to foster inclusive spaces in the classroom and beyond.,2017
Shui-yin Sharon Yam,University of Wisconsin-Madison,Rhetoric without Persuasion: Enacting Invitational Rhetoric in the Classroom,Cultivating Inclusion: Invitational Approaches to Rhetorical Instruction,Speakers discuss their use of intersectional/invitational approaches to foster inclusive spaces in the classroom and beyond.,2017
Taylor Spining,California State University,NA,"Securing Full Membership for Non-Tenure-Track Writing Faculty Panelists describe ways of improving institutional, disciplinary, and professional participation for NTT writing teachers.",NA,2017
Ann Dean,University of Massachusetts,Perceptions of (the Lack of) Governance among Adjunct Faculty: Changing the,"Securing Full Membership for Non-Tenure-Track Writing Faculty Panelists describe ways of improving institutional, disciplinary, and professional participation for NTT writing teachers.",NA,2017
Brendan Hawkins,Appalachian State University,Cultivating Change in Contingent Spaces: Pictures of Adjunct Efficacy,"Securing Full Membership for Non-Tenure-Track Writing Faculty Panelists describe ways of improving institutional, disciplinary, and professional participation for NTT writing teachers.",NA,2017
Julie Karaus,Appalachian State University,Cultivating Change in Contingent Spaces: Pictures of Adjunct Efficacy,"Securing Full Membership for Non-Tenure-Track Writing Faculty Panelists describe ways of improving institutional, disciplinary, and professional participation for NTT writing teachers.",NA,2017
Michael McCamley,University of Delaware,Surveying the Landscape of Permanent Non-Tenure-Track Faculty,"Securing Full Membership for Non-Tenure-Track Writing Faculty Panelists describe ways of improving institutional, disciplinary, and professional participation for NTT writing teachers.",NA,2017
Paulette Stevenson,Arizona State University,Cultivating the Capacity to Act: A Narrative Case Study of ASU against 5/5,"Securing Full Membership for Non-Tenure-Track Writing Faculty Panelists describe ways of improving institutional, disciplinary, and professional participation for NTT writing teachers.",NA,2017
Roger Austin,Georgia State University,NA,Inhabiting and Subverting Online Spaces,"Blogs, games, and discussion forums are sites that invite styles of participation that can generate social change. Panelists will critique and explore the possibilities.",2017
Katelyn Burton,Fashion Institute of Technology (SUNY),Digital Identity as a Dynamic Event,Inhabiting and Subverting Online Spaces,"Blogs, games, and discussion forums are sites that invite styles of participation that can generate social change. Panelists will critique and explore the possibilities.",2017
Peter Carrillo,University of Kansas,Creating Change in Writing Communities: The Remediation of Academic Features in the Gaming,Inhabiting and Subverting Online Spaces,"Blogs, games, and discussion forums are sites that invite styles of participation that can generate social change. Panelists will critique and explore the possibilities.",2017
Haeyoung Lee,University of Oklahoma,Cultivating Critical Participation across Transmedia Platforms through Subversive Play,Inhabiting and Subverting Online Spaces,"Blogs, games, and discussion forums are sites that invite styles of participation that can generate social change. Panelists will critique and explore the possibilities.",2017
Andrew Moos,University of Kansas,Creating Change in Writing Communities: The Remediation of Academic Features in the Gaming,Inhabiting and Subverting Online Spaces,"Blogs, games, and discussion forums are sites that invite styles of participation that can generate social change. Panelists will critique and explore the possibilities.",2017
Kris Purzycki,University of Wisconsin-Milwaukee,Communities of Interactivism: Procedural Fluency and the Rhetoric of Digital Public,Inhabiting and Subverting Online Spaces,"Blogs, games, and discussion forums are sites that invite styles of participation that can generate social change. Panelists will critique and explore the possibilities.",2017
Sarah Alderfer,Vincennes University,Why Coreqs?,"""But We've Always Done It This Way"": Changing Developmental Curriculum and Faculty Perceptions",This panel discusses the process of implementing corequisite remediation and integrating reading and writing.,2017
Jesse Coomer,Vincennes University,Planning for Teamwork,"""But We've Always Done It This Way"": Changing Developmental Curriculum and Faculty Perceptions",This panel discusses the process of implementing corequisite remediation and integrating reading and writing.,2017
Matt Norman,Vincennes University,Why Coreqs?,"""But We've Always Done It This Way"": Changing Developmental Curriculum and Faculty Perceptions",This panel discusses the process of implementing corequisite remediation and integrating reading and writing.,2017
Douglas Hall,Georgia State University,NA,Go Your Own Way: Gateways and Barriers to Student Writer Agencies,This session explores the limits and possibilities of source use and misuse and threshold concepts.,2017
Jonathan Cook,Durham Technical Community College,Beyond Patchwriting: Using Experience and Reflection to Help,Go Your Own Way: Gateways and Barriers to Student Writer Agencies,This session explores the limits and possibilities of source use and misuse and threshold concepts.,2017
Dawn Formo,California State University San Marcos,Writing Prompts and Threshold Concepts: Tending (to) Our Rhetorical Tools,Go Your Own Way: Gateways and Barriers to Student Writer Agencies,This session explores the limits and possibilities of source use and misuse and threshold concepts.,2017
